STU_ID,SCHOOL,S1FRNDCLG,X1TXMSCR,X1HHNUMBER,X1SES,X1PAREDU,X1PARENTBA,X1POVERTY,S2ANYDUAL,X1SEX,X1RACE,X2STUEDEXPCT,X2STUEDEXPCT_BA
15368,2,1,39.7648,5,-0.2985,2,0,0,0,0,5,3,0
15303,2,1,39.9571,6,-1.2395,1,0,1,0,1,5,9,1
29315,2,1,40.2943,6,-1.3419,2,0,1,3,1,5,3,0
31727,2,0,40.3405,6,-0.8135,2,0,0,0,1,5,9,1
18708,2,0,40.3618,5,-0.9482,1,0,0,0,0,5,1,0
16313,2,1,40.4495,5,0.2955,5,1,0,1,1,5,9,1
27712,2,0,41.5415,6,1.2984,5,1,0,0,0,5,7,1
13111,2,1,41.9324,4,-0.8049,1,0,0,0,1,5,5,0
29041,2,1,42.1617,4,-0.87,2,0,0,0,0,5,5,0
31656,2,1,42.8558,4,-1.2728,1,0,1,0,0,5,11,1
27650,2,1,43.1753,6,-0.5628,2,0,0,3,0,5,1,0
27056,2,0,43.1757,6,-0.8179,2,0,1,0,1,5,3,0
12224,2,0,44.6975,5,-0.8879,2,0,1,0,1,5,12,1
15253,2,1,44.859,5,-0.2878,3,0,0,0,0,5,6,0
16906,2,1,45.1519,6,0.5846,4,1,0,0,0,5,11,1
33869,2,1,45.7665,5,0.1407,3,0,0,0,1,5,11,1
24519,2,0,46.3425,5,-1.5735,1,0,1,0,0,5,1,0
19661,2,0,48.604,7,-0.6069,1,0,0,1,0,5,12,1
34611,2,1,48.8358,4,0.1807,4,1,0,3,1,5,9,1
10693,2,0,49.081,5,-0.1206,2,0,0,3,0,5,1,0
21399,2,1,49.1482,4,-0.1256,4,1,1,0,0,5,9,1
23012,2,1,52.0406,4,-1.0941,1,0,0,0,0,5,7,1
32714,2,0,53.3633,4,-1.3077,1,0,1,1,0,5,5,0
21543,3,1,17.4578,7,-0.9895,1,0,0,0,1,5,12,1
31934,3,1,22.8369,4,-0.0832,4,1,0,0,1,5,9,1
16847,3,1,30.6048,5,-0.3312,3,0,0,1,1,5,6,0
29624,3,1,31.5968,3,-0.7717,2,0,0,0,0,5,1,0
23541,3,1,31.6019,4,-0.4584,2,0,0,0,1,5,12,1
15756,3,1,32.4337,5,-1.1272,1,0,0,3,1,4,12,1
12949,3,1,37.0585,4,-0.1465,2,0,0,0,1,5,7,1
29652,3,1,37.6217,6,-0.8794,2,0,0,0,1,5,10,1
14757,3,0,39.8986,3,-1.371,1,0,1,0,1,4,1,0
28680,3,1,41.2377,5,0.1126,4,1,0,3,0,4,7,1
30400,3,0,41.7439,5,-1.5119,1,0,1,0,1,5,11,1
27396,3,1,41.8321,4,0.2323,2,0,0,0,0,5,7,1
20698,3,1,42.1097,8,-0.5089,2,0,0,0,1,5,1,0
26602,3,1,42.4643,4,0.241,4,1,0,3,0,5,7,1
13176,3,1,42.585,4,0.7906,4,1,0,1,1,5,9,1
29099,3,0,43.6336,4,-1.3184,2,0,1,3,1,5,9,1
15351,3,0,43.8719,6,-1.429,1,0,1,0,1,5,5,0
29002,3,1,45.6333,5,0.2322,3,0,0,0,0,5,11,1
11499,3,1,45.7343,6,-0.8391,2,0,1,3,0,5,12,1
34539,3,1,46.5871,3,0.4466,3,0,0,0,0,5,5,0
19547,3,1,47.2167,5,-0.3276,2,0,0,0,1,5,9,1
31811,3,1,47.2336,11,-0.6924,2,0,1,0,1,5,7,1
24563,3,0,47.2716,5,-0.6659,2,0,0,1,0,5,8,1
10554,3,1,47.412,4,-1.1012,2,0,1,1,1,5,7,1
31658,3,1,47.6729,3,0.7503,4,1,0,0,0,5,9,1
26800,3,0,47.7273,5,-0.2321,2,0,0,0,0,5,7,1
24893,3,0,48.5071,4,-0.3373,3,0,0,0,0,5,7,1
11865,3,1,48.6218,4,0.2124,4,1,0,0,1,5,9,1
24189,3,1,48.7674,2,-0.5585,3,0,1,0,0,5,9,1
24636,3,1,48.9766,7,-1.6616,1,0,1,0,0,5,12,1
30597,3,0,49.0799,6,0.2419,3,0,0,0,1,5,12,1
